Q4.1,Q90,Q90_4_TEXT,Q91,Q5.1,Q5_9_TEXT,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q14,Q16,Q18,Q19,Q20,Q20_1_TEXT,Q21,Q22,Q24,Q25,Q23,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q31,Q33,Q34,Q36,Q37_1,Q37_2,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,Q39_6,Q39_7,Q39_8,Q39_9,Q40,Q40_7_TEXT,Q41,Q42_1,Q42_2,Q42_3,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q47,Q48,Q67,Q95,Q102,Q93_1,Q93_2,Q58,Q68,Q59,Q60,Q61_1,Q61_2,Q61_3,Q96_1,Q96_2,Q96_3,Q96_4,Q96_5,Q96_6,Q96_7,Q96_8,Q96_9,Q70,Q65_1,Q65_2,Q65_3,Q65_4,Q65_5,Q65_6,Q65_7,Q65_8,Q65_9,Q66.1,Q66_8_TEXT,Q71,Q67.1,Q84,Q84_8_TEXT,Q88,Q89
25-34,Male,,No,White or European descent,,Full-time employment,60000,"Staying with someone else (family, friend)",West End,Parent(s),Dependent adult(s),2,Dog,I use drugs once a week,Hallucinogens,Oral consumption,No,,Outside or in a public place,No,Somewhat concerned,No,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,My former boss humiliated me and fired me when he found out about my drug use,Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once,,,Strongly disagree,Strongly disagree,Went to a local veterinary clinic,Treated at the vet/veterinary hospital,It was convenient/close by,No,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat bad,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Providing assurance that accidents happen,Being knowledgeable about drugs and their effects",,Somewhat agree,"When I saw the doctor, their attitude was very bad, and their eyes made me very uncomfortable",,,,
25-34,Male,,No,White or European descent,,Unemployed,45000,"Staying with someone else (family, friend)",West End,Parent(s),Dependent adult(s),2,Dog,I use drugs once a week,"Cannabis,Hallucinogens,Cocaine","Smoking/inhalation,Injection,Oral consumption",Yes (please specify),,At home,Yes,Not at all concerned,Yes,"Usually, I hide it, put it in my room, and don't allow other people to get near it",Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Sometimes,Most of the time,Sometimes,About half the time,Most of the time,Most of the time,"One of the biggest challenges is that as drug use increases, the brain produces substances that suppress dopamine, and the threshold for pleasure increases, the things that used to make you happy become less happy, and everything except the drug becomes less fun.",Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once,,,Somewhat disagree,Somewhat agree,Called a veterinary clinic or hospital,Treated at home with advice from a veterinarian,I was confident in the veterinary or healthcare staff knowledge of the situation,No,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat good,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,"Avoiding non-incriminatory questions,Maintaining a friendly demeanor,Being knowledgeable about drugs and their effects",,Somewhat agree,"In my opinion, my biggest obstacle is that I don't know when my pet is being treated with these drugs, and I can't tell the symptoms",,,,
25-34,Male,,No,"East Asian,Another racial or ethnic background",Jewish,Full-time employment,60000,Rented apartment/condo,Kensington-Cedar Cottage,I do not live with other people,No,1,Dog,I use drugs once a week,"Cannabis,Hallucinogens","Smoking/inhalation,Oral consumption",No,,"At home,At a friend/partner/relative's home,Outside or in a public place",,,Yes,"My dog is very short, so I keep any drug paraphernalia or substances on high shelves/ in containers that cannot be accessed.",Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Marijuana,Extremely concerned,Somewhat agree,Somewhat agree,1,5,4,2,3,6,8,9,7,,,Moderately concerned,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Being knowledgeable about drugs and their effects",I would not care what the veterinarian does or says to me as long as my dog would make it through any complications a drug poisoning emergency presents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Female,,No,White or European descent,,Full-time employment,40000,Rented apartment/condo,Maple Ridge,Roommate(s),No,3,"Dog,Cat,Other pet",I use drugs multiple times a day,"Cannabis,Depressants","Smoking/inhalation,Oral consumption",Yes (please specify),Combining benzo with tramadol (rx from having surgery) to feel stoned,"At home,Outside or in a public place",Yes,,Yes,"Everything kept in a closed cabinet that can lock when kids are here, or placed on very high shelves, pills kept on a shelf they cannot access or a locked drawer. ",Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Sometimes,Sometimes,Most of the time,Never,About half the time,Sometimes,"I am lucky, I used to abuse more substances that caused more issues. Financially there is a challenge in substance abuse and it prevents me from advancing my life in other ways. I have to hide this from healthcare professionals because I dont want to be denied prescriptions. ",Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once,,,Somewhat agree,Somewhat agree,Went to a local veterinary clinic,Treated at the vet/veterinary hospital,"It was open/available at the time of the emergency,I had a prior relationship with the veterinarian or healthcare staff,I was confident in the veterinary or healthcare staff knowledge of the situation",No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely good,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Other,"Nothing could be better honestly, they didn't even ask whos drugs it was they just asked if we knew how much and what form (edible etc) and when ingestion happened. Zero judgment ",Strongly agree,I also take a lot of prescription medications for health issues (not for getting high) which can be very toxic to animals if eaten. So after this drug ingestion pet emergency I took time to look up signs of my pets eating my meds. This accident helped me learn to be better. If this kept happening i personally think i should have been investigated as a pet owner. Mistakes happen but its important to make sure it doesnt happen often. ,,,,
,Female,,No,White or European descent,,Full-time employment,55000,Rented apartment/condo,Shaughnessy,Partner/spouse,No,2,Cat,I use drugs every day,"Cannabis,Hallucinogens","Smoking/inhalation,Oral consumption",No,,"At home,At a friend/partner/relative's home,Outside or in a public place",Yes,,Yes,they are kept in private in a secure location ,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Never,Never,Never,Never,Most of the time,Never,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,cannabjs,Extremely concerned,Neither agree nor disagree,Somewhat agree,3,5,6,4,8,2,9,7,1,"It is open/available at the time of the emergency,It is convenient/close by,I have a prior relationship with the veterinarian or healthcare staff,I am confident in the veterinary or health care staff knowledge of the situation,The cost of the treatment",,Extremely concerned,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Providing assurance that accidents happen,Being knowledgeable about drugs and their effects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-24,Female,,No,White or European descent,,"Part-time employment,Student",20000,"Staying with someone else (family, friend)",Kensington-Cedar Cottage,Parent(s),No,3,"Dog,Cat",I use drugs multiple times a day,"Cannabis,Hallucinogens","Smoking/inhalation,Oral consumption",No,,"At home,At a friend/partner/relative's home,Outside or in a public place",Yes,,Yes,"Out of reaching, stored away- inaccessible. ",Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Sometimes,Sometimes,Sometimes,Never,About half the time,Never,"I use marijuana to help with anxiety, I smoke weed everyday and have since I was a teen. I don't enjoy getting high (my tolerance has grown so much when I smoke a bit I don't feel too much) getting too high still gives me anxiety. I worry about being pulled over because no matter if I had smoked weed that day or not I will always have it present in my system. ",Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Cannabis ,Extremely concerned,Somewhat agree,Somewhat agree,5,4,1,2,9,8,7,3,6,"It is open/available at the time of the emergency,I am confident in the veterinary or health care staff knowledge of the situation",,Extremely concerned,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Providing assurance that accidents happen,Being knowledgeable about drugs and their effects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Female,,No,Southeast Asian,,Full-time employment,,House,Other,Partner/spouse,No,2,Dog,I use drugs multiple times a day,Cannabis,Smoking/inhalation,No,,At home,Yes,,Yes,They are put away out of reach,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Sometimes,Most of the time,Never,Never,Always,Sometimes,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Tch,Quite concerned,Strongly agree,Strongly agree,4,3,2,1,5,6,7,8,9,I am confident in the veterinary or health care staff knowledge of the situation,,Extremely concerned,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Providing assurance that accidents happen,Being knowledgeable about drugs and their effects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Female,,No,White or European descent,,Full-time employment,68000,Rented apartment/condo,Mount Pleasant,Roommate(s),No,1,Dog,I use drugs multiple times a week,Cannabis,"Smoking/inhalation,Oral consumption",No,,"At home,Outside or in a public place",Yes,,No,,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Never,Sometimes,About half the time,Never,About half the time,Never,"Weed is obviously legalized and I mostly consume in the evening hours etc when it’s not noticeable to others so I don’t face many challenges. However, as a person with adhd and depression - I’ve found doctors work against my weed use instead of working with it to understand that weed is the only drug, among many prescribed meds, that gives me immediate relief. It’s frustrating to not have that seen and have it shamed, and it has often led me to not take my meds because my doctors didn’t give me a solution to have both and my meds don’t have an immediate pay off",Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Weed,Quite concerned,Somewhat agree,Somewhat agree,3,6,2,4,8,9,7,1,5,"It is open/available at the time of the emergency,It is convenient/close by,The cost of the treatment,Other",How dire the symptoms are based on what google tells me,Not at all concerned,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Providing assurance that accidents happen,Being knowledgeable about drugs and their effects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Female,,No,White or European descent,,Full-time employment,30000,"Staying with someone else (family, friend)",Maple Ridge,Partner/spouse,No,1,Dog,I use drugs multiple times a day,Opioids,Injection,No,,"At home,At a safe injection site",Yes,,Yes,"Hide them , clean up properly ",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Most of the time,Most of the time,Most of the time,Most of the time,Always,Always,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Fentanyl ,Extremely concerned,Strongly agree,Strongly agree,1,2,4,3,6,7,8,5,9,"It is open/available at the time of the emergency,It is convenient/close by,I am confident in the veterinary or health care staff knowledge of the situation,The cost of the treatment",,Moderately concerned,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Providing assurance that accidents happen,Being knowledgeable about drugs and their effects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-44,Female,,No,White or European descent,,Full-time employment,80000,House,Langley,Partner/spouse,Children (yours or someone else's),4,"Dog,Small mammal",I use drugs multiple times a week,Cannabis,"Smoking/inhalation,Oral consumption",No,,"At home,At a friend/partner/relative's home",Yes,Not at all concerned,Yes,Box hidden in adults bedroom. Room is off limits to dependents at all times. ,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Sometimes,Sometimes,Most of the time,Never,Most of the time,Sometimes,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Marijuana,Somewhat concerned,Somewhat agree,Somewhat agree,5,6,4,3,7,9,8,1,2,"It is open/available at the time of the emergency,The cost of the treatment,Other",What the symptoms were ,Somewhat concerned,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Non-binary,,Yes,White or European descent,,Student,20000,Rented apartment/condo,West End,I do not live with other people,No,1,Cat,I use drugs multiple times a week,"Cannabis,Hallucinogens","Smoking/inhalation,Oral consumption",No,,"At home,At a friend/partner/relative's home",,,Yes,Sealed containers,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Sometimes,Sometimes,Most of the time,Never,About half the time,Sometimes,"My substance use includes psilocybin and cannabis which are not heavily stigmatized in my community or with my friends. However, I experience challenges explaining to others that I use these substances to support my mental health and not purely for recreation. ",Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Psilocybin ,Moderately concerned,Somewhat agree,Somewhat agree,8,5,4,3,6,7,9,1,2,"The cost of the treatment,Other",My drug knowledge ,Not at all concerned,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Providing assurance that accidents happen,Being knowledgeable about drugs and their effects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-54,Female,,No,White or European descent,,Piecework/contract work,60000,Rented apartment/condo,Kensington-Cedar Cottage,Partner/spouse,No,2,"Dog,Cat",I use drugs every day,"Cannabis,Hallucinogens","Smoking/inhalation,Oral consumption",No,,At home,Yes,,Yes,"To keep away from pets, cannabis is kept out of the home, on our balcony.",Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Never,Sometimes,Most of the time,Sometimes,Always,Never,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Cannabis ,Quite concerned,Strongly agree,Strongly agree,2,3,1,4,7,6,9,8,5,I am confident in the veterinary or health care staff knowledge of the situation,I'm a vet tech and understand that vet staff don't judge & only want to help the animal,Not at all concerned,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Providing assurance that accidents happen,Being knowledgeable about drugs and their effects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Non-binary,,Prefer not to say,White or European descent,,Unemployed,0,Rented apartment/condo,UBC/West Point Grey,Partner/spouse,No,1,Dog,I have used drugs once or twice a month for the past six months,Cannabis,Oral consumption,No,,At home,Yes,,Yes,Locked up high ,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Always,Never,About half the time,Never,Always,Never,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Marijuana,Extremely concerned,Strongly agree,Strongly agree,3,2,1,5,4,6,7,9,8,"It is open/available at the time of the emergency,I have a prior relationship with the veterinarian or healthcare staff,I am confident in the veterinary or health care staff knowledge of the situation",,Not at all concerned,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Being knowledgeable about drugs and their effects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-44,Female,,No,East Asian,,Full-time employment,68000,House,Mount Pleasant,I do not live with other people,No,1,Dog,I use drugs every day,Cannabis,"Smoking/inhalation,Oral consumption",No,,"At home,At a friend/partner/relative's home,Outside or in a public place",,,Yes,Lock bag and in a drawer.,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Never,Never,Never,Sometimes,Never,Never,"Because cbd is not researched enough, its not recommended by vets for treatments in dogs. I do feel that telling vets that i’m using it poses extra questioning and the offer of other non-natural drugs instead. ",Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,CBD,Extremely concerned,Strongly agree,Strongly agree,6,2,5,1,7,8,9,3,4,"It is open/available at the time of the emergency,It is convenient/close by,I have a prior relationship with the veterinarian or healthcare staff,I am confident in the veterinary or health care staff knowledge of the situation,The cost of the treatment",,Not at all concerned,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,"Emphasizing a commitment to helping your animal,Maintaining a friendly demeanor,Providing assurance that accidents happen,Being knowledgeable about drugs and their effects",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-24,Male,,No,White or European descent,,Part-time employment,,Rented apartment/condo,Downtown,I do not live with other people,No,,Cat,I have used drugs once or twice in the past six months,Cannabis,Smoking/inhalation,No,,At home,,,Yes,Hide in a hidden corner,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,About half the time,Sometimes,Sometimes,Most of the time,Most of the time,About half the time,I feel like I need to pick myself up and get on with life,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,hemp,Somewhat concerned,Somewhat agree,Somewhat agree,5,4,3,9,2,7,6,8,1,"It is open/available at the time of the emergency,It is convenient/close by,I have a prior relationship with the veterinarian or healthcare staff",,Not at all concerned,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,"Using respectful language,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Providing assurance that accidents happen",Fear of causing unnecessary trouble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-54,Male,,No,Black,,"Piecework/contract work,Financial aid/Benefits",,"Staying with someone else (family, friend)",Riley Park,Partner/spouse,Dependent adult(s),,"Dog,Cat",I have used drugs once or twice in the past six months,Cocaine,Injection,No,,At home,No,Not at all concerned,No,,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Sometimes,About half the time,About half the time,About half the time,Most of the time,Most of the time,This is personal behavior,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,cocaine,Not at all concerned,Neither agree nor disagree,Neither agree nor disagree,4,7,8,9,3,6,5,2,1,It is open/available at the time of the emergency,,Not at all concerned,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Maintaining a friendly demeanor,Providing assurance that accidents happen,Being knowledgeable about drugs and their effects",Don't need,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-44,Female,,No,White or European descent,,Part-time employment,,Rented apartment/condo,Downtown,I do not live with other people,,,Cat,I use drugs once a week,Cannabis,Smoking/inhalation,No,,At a friend/partner/relative's home,,,Yes,Hide at home,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,About half the time,Sometimes,Sometimes,,Most of the time,About half the time,I'm afraid of being alone in the house,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,hemp,Quite concerned,Strongly agree,Strongly agree,1,2,3,8,5,6,7,4,9,The cost of the treatment,,Quite concerned,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,"Avoiding non-incriminatory questions,Discussing patient-vet confidentiality,Maintaining a friendly demeanor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-54,Female,,No,Hispanic or Latin American,,Full-time employment,,House,Oakridge,Partner/spouse,Dependent adult(s),,"Cat,Small mammal",I use drugs multiple times a week,Inhalants,Smoking/inhalation,No,,At a friend/partner/relative's home,No,Somewhat concerned,Yes,Drawer is safe,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Don't want to see anyone else with bad intentions,Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once,,,Somewhat disagree,Somewhat disagree,Researched treatment online and/or treat your animal at home,No treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fear of having your animal taken away,Fear of criminal punishment,Confidence in your knowledge and ability to handle the emergency",,"Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality",Don't discriminate
55-64,Female,,No,White or European descent,,Prefer not to say,,House,Downtown,Partner/spouse,,,Other pet,I have used drugs once or twice in the past six months,Cannabis,Smoking/inhalation,No,,At home,No,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,About half the time,About half the time,Always,Always,Always,Always,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,hemp,Not at all concerned,Somewhat agree,Somewhat agree,2,5,4,1,6,8,3,7,9,It is open/available at the time of the emergency,,Not at all concerned,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Emphasizing a commitment to helping your animal,My bird probably doesn't need it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
