Progress,Duration (in seconds),Finished,RecordedDate,Q_RecaptchaScore,Q4,Q5,Q4,Q90,Q90_4_TEXT,Q91,Q5,Q5_3_TEXT,Q5_9_TEXT,Q6,Q6_8_TEXT,Q7,Q8,Q8_7_TEXT,Q9,Q10,Q10_7_TEXT,Q12,Q13,Q14,Q14_8_TEXT,Q16,Q18,Q18_9_TEXT,Q19,Q19_5_TEXT,Q20,Q20_1_TEXT,Q21,Q21_5_TEXT,Q22,Q24,Q25,Q23,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q31,Q33,Q34,Q36,Q37_1,Q37_2,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,Q39_6,Q39_7,Q39_8,Q39_9,Q40,Q40_7_TEXT,Q41,Q42_1,Q42_2,Q42_3,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q47,Q47_8_TEXT,Q48,Q66,Q67,Q95,Q95_9_TEXT,Q102,Q102_9_TEXT,Q93_1,Q93_2,Q58,Q68,Q68_7_TEXT,Q59,Q59_7_TEXT,Q60,Q61_1,Q61_2,Q61_3,Q96_1,Q96_2,Q96_3,Q96_4,Q96_5,Q96_6,Q96_7,Q96_8,Q96_9,Q70,Q65_1,Q65_2,Q65_3,Q65_4,Q65_5,Q65_6,Q65_7,Q65_8,Q65_9,Q66,Q66_8_TEXT,Q71,Q67,Q84,Q84_8_TEXT,Q88,Q88_8_TEXT,Q89
100,876,TRUE,2023-03-06 14:15,,Yes,Yes,25-34,Female,,No,Middle Eastern,,,Full-time employment,,10,"Staying with someone else (family, friend)",,Fairview,Partner/spouse,,No,2,"Dog,Cat",,I have used drugs once or twice in the past six months,"Amphetamines (ex. speed, meth)",,Smoking/inhalation,,No,,"At a friend's, partner's, or relative's home",,Yes,,Yes,Hide it in a safe place,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Sometimes,Most of the time,About half the time,Sometimes,Most of the time,About half the time,"When smoking, I did not intend to let others see, cast an unfriendly look, let me feel very bad",Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Amphetamine,Somewhat concerned,Somewhat agree,Somewhat agree,5,3,2,4,8,9,6,1,7,"It is open/available at the time of the emergency,It is convenient/close by,I DO NOT have a prior relationship with the veterinarian of health care staff",,Not at all concerned,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,"Using respectful language (ie. avoiding terms like ""addict"", ""junkie"", etc.),Emphasizing a commitment to helping your animal,Maintaining a friendly, non-judgmental demeanor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,119,TRUE,2023-03-06 19:09,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,699,TRUE,2023-03-06 19:21,,Yes,Yes,18-24,Male,,No,White or European descent,,,Full-time employment,,50000,Apartment/condo,,Strathcona,Partner/spouse,,No,1,Dog,,I have used drugs once or twice a month for the past six months,Cannabis,,Smoking/inhalation,,No,,"At a friend's, partner's, or relative's home",,No,,Yes,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Always,Always,Always,Always,Always,Always,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Extremely concerned,Strongly disagree,Somewhat agree,3,2,1,8,9,4,5,6,7,"It is open/available at the time of the emergency,It is convenient/close by,The cost of the treatment",,Extremely concerned,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Using respectful language (ie. avoiding terms like ""addict"", ""junkie"", etc.),Avoiding non-incriminatory questions (ex. ""Were these your drugs?""),Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly, non-judgmental demeanor,Providing assurance that accidents happen, that it was not your fault",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1362,TRUE,2023-03-06 19:53,,Yes,Yes,18-24,Male,,No,White or European descent,,,Full-time employment,,55000,"Staying with someone else (family, friend)",,Kitsilano,Roommate(s),,No,2,Dog,,I have used drugs once or twice in the past six months,"Hallucinogens (ex. LSD, magic mushrooms, MDMA/ecstacy)",,"Smoking/inhalation,Oral consumption",,No,,"At a friend's, partner's, or relative's home,At a safe injection site",,No,,Yes,Lock it up！,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,About half the time,About half the time,Sometimes,About half the time,Sometimes,Always,,Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mariguna,Once,,,,,Strongly agree,Somewhat agree,Went to a local veterinary clinic,Treated at home with advice from a veterinarian,,It was open/available at the time of the emergency,,No,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Extremely good,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,Strongly agree,"Emphasizing a commitment to helping your animal,Maintaining a friendly, non-judgmental demeanor",,Strongly agree,,,,,,
100,1367,TRUE,2023-03-06 19:53,,Yes,Yes,18-24,Male,,No,White or European descent,,,Full-time employment,,50000,"Staying with someone else (family, friend)",,Riley Park,Roommate(s),,No,2,Dog,,I have used drugs once or twice in the past six months,"Hallucinogens (ex. LSD, magic mushrooms, MDMA/ecstacy)",,"Smoking/inhalation,Oral consumption",,No,,"At a friend's, partner's, or relative's home,At a safe injection site",,No,,Yes,Lock it up！,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,About half the time,About half the time,Sometimes,About half the time,Sometimes,Always,,Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mariguna,Once,,,,,Strongly agree,Somewhat agree,Went to a local veterinary clinic,Treated at home with advice from a veterinarian,,It was convenient/close by,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Extremely good,Strongly agree,Somewhat agree,Strongly agree,,Strongly agree,,Strongly agree,,,"Avoiding non-incriminatory questions (ex. ""Were these your drugs?""),Emphasizing a commitment to helping your animal,Providing assurance that accidents happen, that it was not your fault",,Strongly agree,,,,,,
100,1358,TRUE,2023-03-06 19:53,,Yes,Yes,18-24,Male,,No,White or European descent,,,Full-time employment,,55000,"Staying with someone else (family, friend)",,West End,Roommate(s),,No,2,Dog,,I have used drugs once or twice in the past six months,"Hallucinogens (ex. LSD, magic mushrooms, MDMA/ecstacy)",,"Smoking/inhalation,Oral consumption",,No,,"At a friend's, partner's, or relative's home,At a safe injection site",,No,,Yes,Lock it up！,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,About half the time,About half the time,Sometimes,About half the time,Sometimes,Always,,Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mariguna,Once,,,,,Somewhat agree,Somewhat agree,Went to an emergency animal hospital,Treated at home with advice from a veterinarian,,It was open/available at the time of the emergency,,Yes,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat good,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,"Using respectful language (ie. avoiding terms like ""addict"", ""junkie"", etc.),Avoiding non-incriminatory questions (ex. ""Were these your drugs?""),Discussing patient-vet confidentiality",,Somewhat agree,,,,,,
100,878,TRUE,2023-03-06 20:04,,Yes,Yes,35-44,Female,,No,White or European descent,,,Full-time employment,,20000,Rented apartment/condo,,Downtown,I do not live with other people,,No,2,"Dog,Cat",,I have used drugs once or twice in the past six months,"Cannabis,Cocaine, crack",,Smoking/inhalation,,Yes (please specify),,At home,,,,Yes,asdasd,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Always,Always,Always,About half the time,About half the time,Always,asdasd,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,asdsad,Extremely concerned,Neither agree nor disagree,Neither agree nor disagree,2,3,1,9,5,8,7,4,6,"It is open/available at the time of the emergency,I have a prior relationship with the veterinarian or healthcare staff",,Quite concerned,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Using respectful language (ie. avoiding terms like ""addict"", ""junkie"", etc.),Discussing patient-vet confidentiality",,asdsad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,975,TRUE,2023-03-06 20:17,,Yes,Yes,18-24,Male,,No,White or European descent,,,Full-time employment,,70000,Rented apartment/condo,,UBC/West Point Grey,Roommate(s),,No,1,Dog,,I have used drugs once or twice in the past six months,Cannabis,,Oral consumption,,No,,At a safe injection site,,No,,Yes,Lock it up！,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,About half the time,About half the time,About half the time,About half the time,About half the time,Most of the time,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Extremely concerned,Neither agree nor disagree,Strongly agree,1,7,2,3,6,5,8,9,4,"It is open/available at the time of the emergency,I have a prior relationship with the veterinarian or healthcare staff,I am confident in the veterinary or health care staff knowledge of the situation",,Quite concerned,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,"Using respectful language (ie. avoiding terms like ""addict"", ""junkie"", etc.),Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly, non-judgmental demeanor,Providing assurance that accidents happen, that it was not your fault",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1036,TRUE,2023-03-06 20:19,,Yes,Yes,18-24,Male,,No,White or European descent,,,Full-time employment,,60000,Unhoused,,Renfrew-Collingwood,Roommate(s),,No,1,Cat,,I have used drugs once or twice in the past six months,Cannabis,,Oral consumption,,No,,"Outside or in a public place,At a safe injection site",,No,,Yes,Lock it up！,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,About half the time,Sometimes,Never,Never,Most of the time,About half the time,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Moderately concerned,Somewhat agree,Somewhat agree,8,4,1,9,2,3,5,6,7,"It is convenient/close by,I have a prior relationship with the veterinarian or healthcare staff,I DO NOT have a prior relationship with the veterinarian of health care staff",,Extremely concerned,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Using respectful language (ie. avoiding terms like ""addict"", ""junkie"", etc.),Avoiding non-incriminatory questions (ex. ""Were these your drugs?""),Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly, non-judgmental demeanor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1638,TRUE,2023-03-06 20:28,,Yes,Yes,18-24,Male,,No,White or European descent,,,Full-time employment,,70000,Rented apartment/condo,,Fairview,Roommate(s),,No,1,Dog,,I have used drugs once or twice in the past six months,Cannabis,,Oral consumption,,No,,At a safe injection site,,No,,Yes,Lock it up！,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,About half the time,About half the time,Sometimes,Sometimes,Sometimes,About half the time,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Moderately concerned,Neither agree nor disagree,Neither agree nor disagree,6,3,5,9,1,2,8,7,4,"It is open/available at the time of the emergency,I have a prior relationship with the veterinarian or healthcare staff,I DO NOT have a prior relationship with the veterinarian of health care staff",,Extremely concerned,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,"Using respectful language (ie. avoiding terms like ""addict"", ""junkie"", etc.),Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly, non-judgmental demeanor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
